ID,_created_on,_last_updated_on,_revision,_partneruuid,ITEM_NAME,ITEM_DESCRIPTION,LISTING_ID,SELLER_SKU,PRICE,QUANTITY,OPEN_DATE,IMAGE_URL,ITEM_IS_MARKETPLACE,PRODUCT_ID_TYPE,ZSHOP_SHIPPING_FEE,ITEM_NOTE,ITEM_CONDITION,ZSHOP_CATEGORY1,ZSHOP_BROWSE_PATH,ZSHOP_STOREFRONT_FEATURE,ASIN1,ASIN2,ASIN3,WILL_SHIP_INTERNATIONALLY,EXPEDITED_SHIPPING,ZSHOP_BOLDFACE,PRODUCT_ID,BID_FOR_FEATURED_PLACEMENT,ADD_DELETE,PENDING_QUANTITY,FULFILLMENT_CHANNEL,MERCHANT_SHIPPING_GROUP,STATUS
1116,2023-03-07T03:58:59.467+09:00,2023-03-07T04:01:06.718+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,Ottogi Sesame Ramen,,0520YCLFETP,PR-OTG-RAM-SSME,0,0,2021-05-20T16:00:00+09:00,,,1,0,,11,0,0,0,B095JC6KSY,,,0,0,0,B095JC6KSY,0,0,0,DEFAULT,Migrated Template,Incomplete
1038,2023-03-07T03:58:59.467+09:00,2023-03-07T04:01:06.718+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,"[OTTOGI] Jin Ramen Veggie, Veggie Noodle Soup, Vegan Korean Style Instant Noodle (110g) - 8 Pack",,0607YED6L8J,FBA-OTG-RAM-JINVEGE-8PK-2,19.45,0,2021-06-07T16:00:00+09:00,,,3,0,,11,0,0,0,B096T6QYH8,,,0,0,0,850028858233,0,0,0,AMAZON_NA,Migrated Template,Active
1034,2023-03-07T03:58:59.467+09:00,2023-03-07T04:01:06.718+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,"[OTTOGI] JIN RAMEN SPICY, KOREAN STYLE INSTANT NOODLE, RICH SPICY FLAVOR, Instant Cup Bowl Ramen, Best tasting ramyun, Traditional gourmet taste [6 BOWL] (110gX6)-1 BOX",,1213Z8X583U,FBA-OTG-RAM-JINSP-6BOWL-1BOX-2,24.99,0,2022-12-13T17:00:00+09:00,,,1,0,,11,0,0,0,B0BN4PP4DW,,,0,0,0,B0BN4PP4DW,0,0,0,AMAZON_NA,Migrated Template,Active
1079,2023-03-07T03:58:59.467+09:00,2023-03-07T04:01:06.718+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,Jin Ramen,,0205YUC9JOW,FBA-OTG-RAM-JINMD-4PK,12.09,0,2021-02-05T17:00:00+09:00,,,1,0,,11,0,0,0,B089P2FFWQ,,,0,0,0,B089P2FFWQ,0,0,0,AMAZON_NA,Migrated Template,Inactive
1089,2023-03-07T03:58:59.467+09:00,2023-03-07T04:01:06.718+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,Snack Ramen,,0211YBUALGA,FBA-OTG-RAM-SNCK-5PK,13.19,0,2021-02-11T17:00:00+09:00,,,1,0,,11,0,0,0,B07RWNZVP1,,,0,0,0,B07RWNZVP1,0,0,0,AMAZON_NA,Migrated Template,Inactive
1092,2023-03-07T03:58:59.467+09:00,2023-03-07T04:01:06.718+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,OTTOGI BIBIM CUPBAP,,0212YDNYNDP,FBA-OTG-RCE-BIBIMCUP-12PK,67.99,0,2021-02-12T17:00:00+09:00,,,1,0,,11,0,0,0,B08WJN5QLC,,,0,0,0,B08WJN5QLC,0,0,0,AMAZON_NA,Migrated Template,Inactive
1117,2023-03-07T03:58:59.467+09:00,2023-03-07T04:01:06.718+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,"[OTTOGI] NOODLE TTEOK-BOKKI, Spicy Rice Cake, Korean Soul Food",,0324ZXTQ4MJ,PR-OTG-RCE-NTB,0,0,2022-03-24T16:00:00+09:00,,,1,0,,11,0,0,0,B09WH98LVH,,,0,0,0,B09WH98LVH,0,0,0,DEFAULT,Migrated Template,Incomplete
1107,2023-03-07T03:58:59.467+09:00,2023-03-07T04:01:06.718+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,"[OTTOGI] SNACK RAMEN, KOREAN STYLE INSTANT NOODLE, Traditional Instant ramen, Thin Noodle and Mild Flavor",,0911YNTXAY5,PR-FBA-OTG-OTG-RAM-SNCK,0,0,2021-09-10T16:00:00+09:00,,,1,0,,11,0,0,0,B09FYPV4L3,,,0,0,0,B09FYPV4L3,0,0,0,DEFAULT,Migrated Template,Incomplete
1000,2023-03-07T03:58:59.467+09:00,2023-03-07T04:01:06.718+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,"[OTTOGI] 3Min.Curry Sauce (MEDIUM), Ready in 3minutes (190g)- 3 Pack","Ottogi America, Inc. was established in Los Angeles, California in May 2005 and has grown rapidly in US market with the exclusive knowledge and experience of Korean foods. The top priority of our mission is serving America with a diversity of high qualified Korean food products, such as Ottogi brands which have been proven their #1 marketability and popularity from many other countries in Asia and Eastern Europe. As the sole distributor of Ottogi Co. Ltd. in America, we continuously bring the last 50 years of Korean food history along with our mission into US and Canadian markets.",0227YP9A2FI,FBA-OTG-3MIN CURRYMED-3PK,12.84,0,2021-02-26T17:00:00+09:00,,,3,0,,11,0,0,0,B08XN4V4CM,,,0,0,0,850028858202,0,0,0,AMAZON_NA,Migrated Template,Active
1001,2023-03-07T03:58:59.467+09:00,2023-03-07T04:01:06.718+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,"[OTTOGI] 3Min.Curry Sauce (MILD), Ready in 3minutes (190g)- 3 Pack","Ottogi America, Inc. was established in Los Angeles, California in May 2005 and has grown rapidly in US market with the exclusive knowledge and experience of Korean foods. The top priority of our mission is serving America with a diversity of high qualified Korean food products, such as Ottogi brands which have been proven their #1 marketability and popularity from many other countries in Asia and Eastern Europe. As the sole distributor of Ottogi Co. Ltd. in America, we continuously bring the last 50 years of Korean food history along with our mission into US and Canadian markets.",0325Y3CBRV8,FBA-OTG-3MIN-CURRYMLD-3PK,14.29,0,2021-03-25T16:00:00+09:00,,,3,0,,11,0,0,0,B08XN1MSWW,,,0,0,0,850028858196,0,0,0,AMAZON_NA,Migrated Template,Active
